company,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31
Apple Inc.,647361.04,586859.34,617588.49,859967.8,746079.13,1304756.25
Microsoft Corp.,382880.52,443169.41,483160.31,659085.7,780362.31,1203881.8
Alphabet Inc. Class A,360940.07,534763.62,546188.24,731884.41,726828.2,925392.59
Amazon.com Inc.,143693.91,316831.55,356313.48,566023.48,737467.27,914680.8
Facebook Inc.,218221.94,297757.7,332724.6,512792.76,374130.86,585783.5
Berkshire Hathaway Inc,370024.1,325490.35,401987.01,489062.06,502567.43,555585.02
JPMorgan Chase & Co.,233935.87,243065.01,308768.4,366301.48,319780.3,437226.01
Visa Inc.,161506.02,186817.95,181084.42,257324.21,299355.37,418483.36
Johnson & Johnson,292702.93,284220.49,313432.49,374802.39,343572.91,383778.28
Wal-Mart Stores Inc.,276807.56,196276.04,212418.89,293090,271319.4,337386.76
